"Country","MinimumRank"
"Argentina",73
"Australia",29
"Austria",154
"Belarus",351
"Belgium",79
"Brazil",116
"Brunei",298
"Canada",29
"Chile",128
"China",16
"Colombia",235
"Czech Republic",291
"Denmark",81
"Egypt",396
"Estonia",301
"Finland",107
"France",53
"Germany",55
"Greece",454
"Hong Kong",25
"India",152
"Indonesia",296
"Iran",408
"Ireland",108
"Israel",162
"Italy",149
"Japan",22
"Kazakhstan",207
"Lebanon",245
"Lithuania",458
"Macau",388
"Malaysia",70
"Mexico",103
"Netherlands",50
"New Zealand",83
"Norway",119
"Oman",380
"Pakistan",376
"Peru",474
"Philippines",356
"Poland",338
"Portugal",338
"Qatar",276
"Russia",85
"Saudi Arabia",186
"Singapore",11
"South Africa",197
"South Korea",37
"Spain",165
"Sweden",92
"Switzerland",6
"Taiwan",69
"Thailand",248
"Turkey",451
"Ukraine",491
"United Arab Emirates",268
"United Kingdom",4
"United States of America",1
"Uruguay",491
